,score
ExcelI,0.000534201
exchange,0.000534201
execute,0.000534201
exercise,0.000534201
exit,0.000534201
explore,0.000534201
facing,0.000534201
fail,0.000534201
failed,0.000534201
fails,0.000534201
familiar,0.000534201
fastly!,0.000534201
feeling:,0.000534201
feels,0.000534201
fiber,0.000534201
"file,",0.000534201
file1=file1)`,0.000534201
filling,0.000534201
final,0.000534201
finaly,0.000534201
findI,0.000534201
fineâ€¦,0.000534201
fires,0.000534201
firsts,0.000534201
fix:could,0.000534201
folks:,0.000534201
forâ€¦how,0.000534201
FORGET,0.000534201
formulas,0.000534201
frequency,0.000534201
FREQUENCY,0.000534201
friday(today),0.000534201
"Friday,",0.000534201
friendah,0.000534201
fulfil,0.000534201
"fun,",0.000534201
"function""Create",0.000534201
functionâ€¦,0.000534201
functionand,0.000534201
functionBut,0.000534201
functionbut,0.000534201
"functions*,*",0.000534201
"g,",0.000534201
game,0.000534201
gamester,0.000534201
GDPYou,0.000534201
gentle,0.000534201
"get_gdp(c,",0.000534201
Github,0.000534201
GitHub,0.000534201
"gmap(snsdistplot,",0.000534201
Go,0.000534201
gone,0.000534201
good?,0.000534201
goodthank,0.000534201
goodthis,0.000534201
google,0.000534201
google!)Â,0.000534201
gotta,0.000534201
"graspwell,",0.000534201
guess),0.000534201
ha,0.000534201
haagh,0.000534201
hackerwinner,0.000534201
hahananor,0.000534201
hahaThank,0.000534201
Han,0.000534201
handling,0.000534201
han-solo:angel::pray:my,0.000534201
happened?,0.000534201
heard,0.000534201
hehe<https://wwwcodewarscom/kata/53da3dbb4a5168369a0000fe/python>num,0.000534201
help!,0.000534201
help!without,0.000534201
help*,0.000534201
help<https://zoomus/j/877626245>,0.000534201
helpful,0.000534201
here?Same,0.000534201
heres,0.000534201
HFT,0.000534201
highest,0.000534201
Histogram,0.000534201
histogramI,0.000534201
Histograms,0.000534201
"histograms,",0.000534201
"histograms_numeric_columns(df,",0.000534201
histogramsJust,0.000534201
"histplot,",0.000534201
homework,0.000534201
"honest,",0.000534201
"hue=""Response"",",0.000534201
"i,",0.000534201
Id,0.000534201
ideal,0.000534201
ideas?i,0.000534201
i'll,0.000534201
Im,0.000534201
im,0.000534201
implement,0.000534201
income~,0.000534201
increased,0.000534201
input,0.000534201
inspected,0.000534201
instead,0.000534201
"instead,",0.000534201
institutional,0.000534201
instruction,0.000534201
instructions:,0.000534201
integer,0.000534201
interesting,0.000534201
interestingi,0.000534201
internet?,0.000534201
interpret,0.000534201
interview?A,0.000534201
interviews,0.000534201
intro,0.000534201
introduce,0.000534201
"introduced,",0.000534201
introduction,0.000534201
intutive,0.000534201
invite,0.000534201
"inyes,",0.000534201
it?,0.000534201
itI,0.000534201
itlet,0.000534201
It's,0.000534201
ive,0.000534201
"job,",0.000534201
jobbefore,0.000534201
Jonas:white_check_mark:,0.000534201
joywe,0.000534201
"Jupyter,",0.000534201
Karinadid,0.000534201
karinaquick,0.000534201
Kata,0.000534201
Kata's,0.000534201
"kind,",0.000534201
kinds,0.000534201
"Lab,",0.000534201
labwork,0.000534201
laptop,0.000534201
later!<@U01RW140HBP>,0.000534201
"later,",0.000534201
latterif,0.000534201
lazynot,0.000534201
learn,0.000534201
less<https://wwwbingcom/videos/search?q=how+to+push+file+from+jupiter+notebook+to+git+hub+using+git+bash&amp;qpvt=how+to+push+file+from+jupiter+notebook+to+git+hub+using+git+bash&amp;view=detail&amp;mid=4AA151373665F94434F14AA151373665F94434F1&amp;&amp;FORM=VRDGAR&amp;ru=%2Fvideos%2Fsearch%3Fq%3Dhow%2Bto%2Bpush%2Bfile%2Bfrom%2Bjupiter%2Bnotebook%2Bto%2Bgit%2Bhub%2Busing%2Bgit%2Bbash%26qpvt%3Dhow%2Bto%2Bpush%2Bfile%2Bfrom%2Bjupiter%2Bnotebook%2Bto%2Bgit%2Bhub%2Busing%2Bgit%2Bbash%26FORM%3DVDRE|https://wwwbingcom/videos/search?q=how+to+push+file+from+jupiter+notebook+to+git+[â€¦]2Bnotebook%2Bto%2Bgit%2Bhub%2Busing%2Bgit%2Bbash%26FORM%3DVDRE>this,0.000534201
lesson,0.000534201
lessons,0.000534201
"levels),",0.000534201
library,0.000534201
linkok,0.000534201
list:,0.000534201
loading,0.000534201
local,0.000534201
logical,0.000534201
lower<@U01RW2X7S9Z>,0.000534201
lowest,0.000534201
luke,0.000534201
luke-skywalker6th:,0.000534201
m),0.000534201
"M)"",",0.000534201
m):,0.000534201
made?b,0.000534201
maintain,0.000534201
marketed,0.000534201
marketi,0.000534201
"match,",0.000534201
math,0.000534201
matplotlib,0.000534201
"matter,",0.000534201
"me,",0.000534201
me<https://zoomus/j/877626245>pw,0.000534201
"meantime,",0.000534201
meetings,0.000534201
menannanyou,0.000534201
mentioned?task,0.000534201
merely,0.000534201
milisecond<@U01S7BM4N81>Thanks!#highfrequencytrading,0.000534201
miliseconds,0.000534201
mimic,0.000534201
mindfrime*mindframeFor,0.000534201
mistakes,0.000534201
misunderstanding,0.000534201
"misunderstanding,",0.000534201
"model,",0.000534201
modelling,0.000534201
modify,0.000534201
module,0.000534201
"month,",0.000534201
morning),0.000534201
morningmy,0.000534201
"multiple=""stack"")<@U01SJKB2MG8>",0.000534201
must,0.000534201
my_function`,0.000534201
my_module,0.000534201
names:,0.000534201
"NanosecondsYeah,",0.000534201
navigate,0.000534201
navigator?yes,0.000534201
newest,0.000534201
nicer,0.000534201
noon,0.000534201
notebooks,0.000534201
notion>,0.000534201
now?,0.000534201
'number,0.000534201
numerical_columns):,0.000534201
"numpy,",0.000534201
obi,0.000534201
objective(s)Â,0.000534201
objectivesÂ,0.000534201
obstruct,0.000534201
odd,0.000534201
'Odd',0.000534201
Of,0.000534201
ofÂ,0.000534201
ON*,0.000534201
One,0.000534201
onenum,0.000534201
"ones,",0.000534201
ones:,0.000534201
"online,",0.000534201
onlinecause,0.000534201
only),0.000534201
onThank,0.000534201
operationwe,0.000534201
order,0.000534201
order):,0.000534201
organisational,0.000534201
os,0.000534201
others,0.000534201
oulier<@U01S133DZ9A><@U01RW140HBP>,0.000534201
output,0.000534201
overall,0.000534201
overran,0.000534201
overrun,0.000534201
overwhelmed,0.000534201
overwhelming,0.000534201
pairs):*Â,0.000534201
pandas,0.000534201
Pandas/python,0.000534201
parameter,0.000534201
parameter),0.000534201
parameters,0.000534201
particular,0.000534201
passed,0.000534201
password,0.000534201
password<!channel>!,0.000534201
patience,0.000534201
"pdmelt(df,",0.000534201
peach,0.000534201
peek,0.000534201
perform,0.000534201
permissions,0.000534201
Personal,0.000534201
photonic,0.000534201
pic,0.000534201
Pick,0.000534201
picture,0.000534201
pictures,0.000534201
PIN,0.000534201
pinned,0.000534201
Pinning,0.000534201
"place,",0.000534201
Play,0.000534201
playis,0.000534201
pls,0.000534201
pls?my,0.000534201
point?well,0.000534201
political,0.000534201
position,0.000534201
post,0.000534201
postÂ,0.000534201
practical,0.000534201
prayers,0.000534201
predictive,0.000534201
prices?i,0.000534201
Principles,0.000534201
"print(""Odd""format(num))I",0.000534201
"print(""Odd""format(num))It",0.000534201
print(),0.000534201
print(argument1),0.000534201
prob!<@U01S133DZ9A>,0.000534201
"process,",0.000534201
processed,0.000534201
processes,0.000534201
project:)maybe,0.000534201
prompt,0.000534201
properly?the,0.000534201
protect,0.000534201
pullanybody,0.000534201
push,0.000534201
pushed,0.000534201
puzzles,0.000534201
pw,0.000534201
pw:,0.000534201
questionâ€¦,0.000534201
questionniceHey,0.000534201
QUIZME,0.000534201
r2d2,0.000534201
r2-d24th:,0.000534201
rate~,0.000534201
rate~Â,0.000534201
rather,0.000534201
reasons,0.000534201
"recievedyes,",0.000534201
recommended,0.000534201
record,0.000534201
Recordings,0.000534201
records,0.000534201
reduced,0.000534201
Regarding,0.000534201
regression?ooh,0.000534201
reinvent,0.000534201
relation,0.000534201
reminderÂ,0.000534201
rented,0.000534201
repair,0.000534201
repeatedly,0.000534201
reposting,0.000534201
resolution,0.000534201
"'Response'""",0.000534201
response?,0.000534201
response?It,0.000534201
"response=""yes""",0.000534201
"response=yes,",0.000534201
"restart<@U01SD3CDH9P>yes,",0.000534201
results),0.000534201
resume,0.000534201
Returns,0.000534201
reusing,0.000534201
Review,0.000534201
right?tip,0.000534201
"right?Well,",0.000534201
robustly,0.000534201
roomÂ,0.000534201
round,0.000534201
rudebaby-yoda,0.000534201
sales,0.000534201
Sam,0.000534201
sam<@U01RW2X7S9Z>,0.000534201
saver,0.000534201
saying,0.000534201
says,0.000534201
scheme,0.000534201
scientist,0.000534201
Scikit,0.000534201
scikit-learn*,0.000534201
scraped,0.000534201
script?oh,0.000534201
scriptdefine,0.000534201
scriptI,0.000534201
scripting,0.000534201
Seaborn,0.000534201
'seaborn',0.000534201
"seaborn,",0.000534201
"seaborn```<!channel>,",0.000534201
seaborn's,0.000534201
See,0.000534201
selling/renting,0.000534201
sense,0.000534201
series,0.000534201
"server,",0.000534201
serves,0.000534201
services,0.000534201
services/,0.000534201
sets,0.000534201
"sharex=False,",0.000534201
sharey=False),0.000534201
"Shell)""oh",0.000534201
shell*write,0.000534201
Shelli,0.000534201
"shot,",0.000534201
sian,0.000534201
simon,0.000534201
skews,0.000534201
skywalker,0.000534201
Slack,0.000534201
"snsFacetGrid(f,",0.000534201
software!So,0.000534201
sold,0.000534201
solo7th:,0.000534201
solving,0.000534201
somehow?<@U01SJKB2MG8>,0.000534201
someones,0.000534201
sounds,0.000534201
special,0.000534201
specialPINÂ,0.000534201
spotted,0.000534201
staff,0.000534201
Start,0.000534201
starwars,0.000534201
State,0.000534201
steer,0.000534201
strategies,0.000534201
streetvery,0.000534201
stress,0.000534201
stretch,0.000534201
structured,0.000534201
studentsÂ,0.000534201
studies,0.000534201
study!also,0.000534201
stuff,0.000534201
stunning,0.000534201
successful,0.000534201
suitable,0.000534201
sum,0.000534201
Summarise,0.000534201
"sunday,",0.000534201
Super,0.000534201
sureshows,0.000534201
survey!,0.000534201
"survey,",0.000534201
T),0.000534201
t),0.000534201
"t,",0.000534201
TA,0.000534201
taken,0.000534201
"tasks,",0.000534201
Team,0.000534201
techniques,0.000534201
terminal,0.000534201
"terms,",0.000534201
test_function(argument1),0.000534201
Thamo!:v:welcome,0.000534201
Thank,0.000534201
"Thanks,",0.000534201
thanksa,0.000534201
thanksKarinai,0.000534201
thanksof,0.000534201
thanksThanks,0.000534201
Thankswhat,0.000534201
that),0.000534201
that?Right,0.000534201
that<@U01RN7BVD1C>,0.000534201
thatDay,0.000534201
them?,0.000534201
"then,",0.000534201
theoretical,0.000534201
there's,0.000534201
thereSo,0.000534201
theretask,0.000534201
thingeg,0.000534201
thinking_,0.000534201
this?,0.000534201
"this?yes,",0.000534201
thisÂ,0.000534201
"tho,",0.000534201
THREAD,0.000534201
tick!!!Thanks,0.000534201
tidy,0.000534201
timeline,0.000534201
tip,0.000534201
today!,0.000534201
todayits,0.000534201
tonne,0.000534201
Tony,0.000534201
"too<!channel>,",0.000534201
tooThe,0.000534201
top,0.000534201
traded,0.000534201
training/,0.000534201
transactions,0.000534201
transformations)â€¦,0.000534201
trick,0.000534201
"true,",0.000534201
Try,0.000534201
upgrade,0.000534201
uploaded,0.000534201
upWhat,0.000534201
vader,0.000534201
value_vars=numerical_columns),0.000534201
"values,",0.000534201
Video,0.000534201
videoI,0.000534201
vidthanks,0.000534201
virus,0.000534201
visualisation,0.000534201
visually,0.000534201
wait,0.000534201
walked,0.000534201
walkthrough,0.000534201
wall,0.000534201
wan,0.000534201
wanna,0.000534201
website,0.000534201
websocket,0.000534201
weird,0.000534201
"weird,",0.000534201
welcome!and,0.000534201
we'll,0.000534201
whats,0.000534201
what'S,0.000534201
what's,0.000534201
wheel,0.000534201
whish,0.000534201
"why?Yes,",0.000534201
winded,0.000534201
"window,",0.000534201
With,0.000534201
work<@U01S6L7HLUC>,0.000534201
workedSo,0.000534201
worknannannanabsolutely,0.000534201
worry!,0.000534201
wouldÂ,0.000534201
"wrong?notion,",0.000534201
X,0.000534201
"x,",0.000534201
"x=""Total",0.000534201
"x-axis,",0.000534201
Y),0.000534201
y```,0.000534201
yeah,0.000534201
yesterdayWhat,0.000534201
yesTry,0.000534201
yoda,0.000534201
yoom,0.000534201
you!,0.000534201
you5th:,0.000534201
youcolumn,0.000534201
yourselves!),0.000534201
yoursnansurvey,0.000534201
youThis,0.000534201
youtube,0.000534201
youWhat's,0.000534201
zeroes,0.000534201
zombie,0.000534201
TRUE,0.000534201
